SENTENCE A,SENTENCE B,label
two guys are sitting around a table and holding beers in their hands,a man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,0
a lion is pacing tiredly in a pen,there is no lion walking,1
one man is jumping off a rock wall and another man is dropping a rope,one man is climbing a rock wall and another man is holding a rope,0
the man is going into the water,the man is not going into the water,1
the land near a white bird is being watered swiftly,a large white crane is flying near the water,0
a young lady in a bikini is lying on the beach,a black girl with no bikini is wearing a hat at the beach,0
there is no man slicing a potato,a man is cutting a potato,1
a group of people is sitting on both sides of a red stone structure,the group of people is not sitting on the ground outside a monument,0
someone is putting away a keyboard,someone is typing on a keyboard,0
a wet boy is standing still on dirty and wet grass,a young boy covered in grass is jumping near a wooden fence,0
a panda is climbing,there is no panda climbing,1
one man is doing a bicycle trick in midair,a man is failing to perform a bicycle trick in midair,0
two people are walking near the water,two people are wading through the water,0
the man is cutting the tape on the box,a man is taping a cut box,0
there is no man cutting a rope with a sword,a man is cutting a rope with a sword,1
a chef is cleaning a bowl of soup,a man is wiping the edge of a bowl,0
a black and white dog is playing with a broken ball,a black and white dog is playing with a tattered volleyball in a brown field,0
a brown dog is running after a black dog on a rocky shore,a brown dog is running after a white dog on a rocky shore,0
the woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,a person is wearing a red jacket and carefully holding a beer,0
dan shaved his head and joined a peaceful group,dan shaved his head and joined a violent group,1
a bride with a white veil is looking down,a woman is looking down and is wearing a wedding veil,0
two boy are playing on a trampoline,nobody is playing on a trampoline,1
a woman is scrubbing a zucchini with a vegetable brush,there is no woman scrubbing a zucchini with a vegetable brush,1
the dog is catching a blue ball,a dog is chasing a ball,0
two brown and white dogs are fighting on a grassy area in front of a tree,two brown and white dogs are fighting on a grassy area behind a tree,0
a dog with a golden coat is swimming through the water,there is no dog swimming in a lake with sunshine shining on him,0
a man is sprinkling seasoning on several sliced and buttered loaves of bread,there is no man sprinkling seasoning on several sliced and buttered loaves of bread,1
someone is drilling a hole in a strip of wood with a power drill,nobody is drilling a hole in a strip of wood with a power drill,1
there is no man playing a bamboo flute,a man is playing a bamboo flute,1
the girl is recklessly jumping onto a car,the girl isnt jumping onto the car recklessly,1
a woman is boiling noodles in water,nobody is stirring noodles in the water,0
a woman is walking in a city street,a woman is wearing a long black coat and a brown hat and is walking past a park with a lot of blooming trees,0
a black dog and a white dog are wrestling on the bed,a black dog and a tan dog are fighting,0
a woman is receiving volleyballs,a woman is serving volleyballs over a net,0
two children are crouching under some metal bars,two children are peering over a ledge which is rusty,0
a man is dancing,a man is speaking,0
the dog with the black coat is walking along a tree trunk bridge over water,a dog is crossing a river on a bridge made from a fallen tree,0
a hiker is on top of the mountain and is dancing,there is no hiker dancing on top of the mountain,1
the brown dog is spotting a black dog and is playing in the dry grass,a grey silky dog is lying in the grass and a brown dog is looking on,0
the men in brown shorts are walking on the rocks beside a river,the men in brown shorts are not walking on the rocks beside a river,1
a woman is performing a trick on a ramp with a bicycle,the helmeted girl is perching on a bike,0
a big group of people are standing and two are sitting on the couch,a group of five young adults are lounging indoors,0
tiles are being broken with his hands by a man,a man is breaking wooden boards with his hand,0
a man is standing on the top of the rocks with clouds behind them,a man is standing behind the rocks with clouds on top of them,0
a dog next to a tree which is probably a pine is dropping a bucket,a dog next to a tree which is probably a pine is biting a bucket,0
an old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,a newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat,0
a man is playing the drums,a woman is playing the drums,0
a man is playing the guitar,the log is lying on the panda bear,0
two boys are laying in the ocean close to the beach,two boys are laying in the ocean far to the beach,1
there is no chef preparing a meal,a chef is preparing some food,1
tom gave you something for me,tom give you nothing for me,1
the small child is wading through the water and is being guided by another person,the small child is not wading through the water and is not being guided by another person,1
